Recency,Frequency,Monetary,Cluster
17,4,1353.5,Cluster #0
6,2,321.29,Cluster #0
301,1,56.95,Cluster #1
147,1,691.05,Cluster #1
298,1,75.75,Cluster #1
55,1,168.0,Cluster #1
7,9,2331.81,Cluster #2
6,2,256.05,Cluster #0
3,6,1417.5,Cluster #2
56,3,809.58,Cluster #0
27,3,159.51,Cluster #0
100,5,1497.13,Cluster #0
44,1,396.97,Cluster #0
4,1,334.4,Cluster #0
39,1,134.07,Cluster #1
2,19,3568.08,Cluster #2
304,1,66.52,Cluster #1
37,2,663.08,Cluster #0
56,1,398.65000000000003,Cluster #1
18,1,129.44,Cluster #0
20,2,152.22,Cluster #0
32,1,565.5600000000001,Cluster #0
4,7,891.78,Cluster #2
81,3,974.1600000000001,Cluster #0
16,4,1076.8600000000001,Cluster #0
310,1,385.89,Cluster #1
32,3,444.04,Cluster #0
165,1,154.54,Cluster #1
108,1,209.85,Cluster #1
22,5,392.05,Cluster #0
244,1,241.32999999999998,Cluster #1
51,5,1203.83,Cluster #0
134,1,281.01,Cluster #1
67,6,825.14,Cluster #0
91,5,332.5,Cluster #0
16,5,1766.71,Cluster #2
25,5,1142.21,Cluster #0
59,1,1031.43,Cluster #0
28,5,720.83,Cluster #0
44,3,741.25,Cluster #0
7,1,97.14,Cluster #0
66,1,646.34,Cluster #0
207,1,268.55,Cluster #1
23,3,468.44,Cluster #0
8,4,1979.0900000000001,Cluster #2
112,1,30.599999999999998,Cluster #1
1,4,1164.52,Cluster #2
248,2,333.85,Cluster #1
8,6,1567.29,Cluster #2
31,1,63.3,Cluster #1
37,3,1003.64,Cluster #0
35,6,2261.97,Cluster #2
106,2,753.22,Cluster #0
156,2,319.79,Cluster #1
2,2,321.0,Cluster #0
1,5,1735.85,Cluster #2
197,2,1225.47,Cluster #0
77,3,663.56,Cluster #0
171,1,91.07,Cluster #1
52,3,67.65,Cluster #1
141,1,258.17,Cluster #1
2,20,4041.09,Cluster #2
42,2,160.2,Cluster #1
67,1,333.2,Cluster #1
293,2,186.39000000000001,Cluster #1
10,2,307.27,Cluster #0
143,2,473.38,Cluster #1
143,1,72.56,Cluster #1
31,3,1474.46,Cluster #0
9,4,796.0300000000001,Cluster #0
179,1,34.0,Cluster #1
277,1,67.23,Cluster #1
45,1,5.930000000000001,Cluster #1
174,1,72.0,Cluster #1
55,1,15.0,Cluster #1
51,1,81.60000000000001,Cluster #1
16,2,749.64,Cluster #0
37,18,2559.21,Cluster #2
23,13,1616.53,Cluster #2
30,1,151.29999999999998,Cluster #1
147,1,70.08000000000001,Cluster #1
18,10,1856.6200000000001,Cluster #2
14,8,1682.82,Cluster #2
136,2,357.68,Cluster #1
294,1,290.89,Cluster #1
258,2,581.36,Cluster #1
263,1,272.01,Cluster #1
28,11,4190.74,Cluster #2
23,1,94.56,Cluster #1
210,2,232.16000000000003,Cluster #1
238,1,88.2,Cluster #1
272,5,1018.2,Cluster #0
261,1,138.28,Cluster #1
24,6,1088.32,Cluster #2
238,2,242.4,Cluster #1
7,5,855.41,Cluster #2
108,4,685.8,Cluster #0
28,1,470.94,Cluster #0
123,3,2004.68,Cluster #0
209,1,150.10000000000002,Cluster #1
41,7,1203.52,Cluster #2
30,2,429.11999999999995,Cluster #0
20,2,285.78000000000003,Cluster #0
28,6,437.44,Cluster #0
127,2,522.55,Cluster #1
211,2,511.59000000000003,Cluster #1
20,1,491.86,Cluster #0
16,4,1970.99,Cluster #2
252,1,271.78000000000003,Cluster #1
192,1,185.65,Cluster #1
10,1,125.10000000000001,Cluster #0
232,1,234.71,Cluster #1
63,3,405.63,Cluster #0
8,12,1918.81,Cluster #2
80,6,641.4,Cluster #0
87,2,992.1,Cluster #0
154,1,241.35999999999999,Cluster #1
87,4,328.7,Cluster #0
45,3,243.68,Cluster #0
280,1,75.6,Cluster #1
116,6,723.74,Cluster #0
279,1,710.66,Cluster #1
143,2,129.6,Cluster #1
1,8,1534.45,Cluster #2
14,11,2267.84,Cluster #2
3,7,1955.39,Cluster #2
25,2,439.59000000000003,Cluster #0
46,2,286.79,Cluster #0
42,2,974.65,Cluster #0
210,1,133.2,Cluster #1
55,1,308.40000000000003,Cluster #1
62,3,1352.96,Cluster #0
17,35,7396.96,Cluster #2
29,9,1820.5500000000002,Cluster #2
56,4,2188.72,Cluster #0
25,3,1027.43,Cluster #0
73,1,314.15000000000003,Cluster #1
16,19,3190.51,Cluster #2
95,1,178.7,Cluster #1
162,1,30.48,Cluster #1
242,1,68.54,Cluster #1
4,6,766.56,Cluster #2
104,5,247.26,Cluster #0
359,1,148.8,Cluster #1
67,2,231.55,Cluster #1
58,2,183.05,Cluster #1
9,23,1996.51,Cluster #2
108,2,649.06,Cluster #0
301,1,486.62,Cluster #1
58,1,247.1,Cluster #1
130,3,1068.52,Cluster #0
247,1,277.07,Cluster #1
22,7,2303.89,Cluster #2
55,1,218.13000000000002,Cluster #1
359,1,80.8,Cluster #1
38,4,951.2,Cluster #0
297,1,60.300000000000004,Cluster #1
20,2,609.16,Cluster #0
34,3,452.1,Cluster #0
31,4,1050.26,Cluster #0
84,2,1334.22,Cluster #0
14,4,3007.46,Cluster #2
15,2,420.42,Cluster #0
20,2,328.98,Cluster #0
293,3,624.75,Cluster #1
136,2,321.89,Cluster #1
32,1,415.08,Cluster #0
10,2,683.36,Cluster #0
24,5,1171.86,Cluster #0
168,1,102.30000000000001,Cluster #1
49,3,239.9,Cluster #0
14,1,168.45,Cluster #0
8,4,527.17,Cluster #0
11,1,52.199999999999996,Cluster #1
151,1,226.4,Cluster #1
17,4,692.37,Cluster #0
203,2,226.24,Cluster #1
109,3,363.49,Cluster #1
50,9,2555.65,Cluster #2
3,1,345.12,Cluster #0
56,1,157.86,Cluster #1
16,3,733.16,Cluster #0
43,2,1325.55,Cluster #0
121,1,1478.98,Cluster #0
87,3,1536.08,Cluster #0
49,1,547.3000000000001,Cluster #0
16,23,2441.16,Cluster #2
160,3,120.3,Cluster #1
49,1,182.67,Cluster #1
318,1,172.76000000000002,Cluster #1
6,4,841.5,Cluster #0
10,8,2131.96,Cluster #2
239,1,264.88,Cluster #1
50,4,437.81,Cluster #0
66,1,145.67000000000002,Cluster #1
23,3,719.74,Cluster #0
30,1,428.37,Cluster #0
115,4,2468.25,Cluster #0
32,7,1679.29,Cluster #2
14,13,5070.75,Cluster #2
111,3,324.05,Cluster #1
349,1,247.45000000000002,Cluster #1
45,5,1477.82,Cluster #0
55,1,98.80000000000001,Cluster #1
78,1,17.4,Cluster #1
46,1,1031.94,Cluster #0
13,13,2927.18,Cluster #2
9,13,2902.56,Cluster #2
3,4,613.1,Cluster #0
2,5,2176.33,Cluster #2
81,3,436.1,Cluster #0
181,2,390.2,Cluster #1
63,1,218.56,Cluster #1
196,1,293.95,Cluster #1
111,2,505.98,Cluster #1
84,1,416.90000000000003,Cluster #1
14,7,1291.26,Cluster #2
18,4,410.01,Cluster #0
289,1,195.70000000000002,Cluster #1
15,2,430.55,Cluster #0
20,4,2144.67,Cluster #2
42,1,311.16,Cluster #1
317,1,138.93,Cluster #1
8,2,337.52,Cluster #0
184,2,553.95,Cluster #1
64,5,2365.83,Cluster #2
29,2,332.64,Cluster #0
71,4,1948.9,Cluster #0
136,8,1872.71,Cluster #2
3,2,604.83,Cluster #0
41,2,252.14000000000001,Cluster #0
41,2,565.1,Cluster #0
51,2,331.86,Cluster #0
343,1,81.6,Cluster #1
45,1,317.63,Cluster #1
9,5,1348.63,Cluster #2
84,4,411.1,Cluster #0
15,1,150.10000000000002,Cluster #0
66,1,348.99,Cluster #1
2,4,336.47,Cluster #0
161,2,285.45,Cluster #1
49,2,337.34,Cluster #0
87,2,956.13,Cluster #0
286,1,195.8,Cluster #1
101,2,576.99,Cluster #0
255,1,818.65,Cluster #1
171,1,369.74,Cluster #1
161,1,128.25,Cluster #1
27,1,71.66,Cluster #1
15,3,466.37,Cluster #0
9,4,648.5600000000001,Cluster #0
13,5,1389.88,Cluster #2
71,3,57.33,Cluster #1
57,1,90.6,Cluster #1
352,1,70.19999999999999,Cluster #1
16,5,1620.33,Cluster #2
3,4,437.65999999999997,Cluster #0
168,3,504.09000000000003,Cluster #1
209,2,2300.811,Cluster #0
107,1,104.36,Cluster #1
62,1,144.16,Cluster #1
146,2,239.31,Cluster #1
46,4,586.34,Cluster #0
71,3,512.75,Cluster #0
13,2,230.22,Cluster #0
13,2,82.1,Cluster #0
300,4,469.02,Cluster #1
137,1,35.7,Cluster #1
8,16,5913.76,Cluster #2
10,8,2502.56,Cluster #2
62,2,174.35,Cluster #1
279,1,186.75,Cluster #1
41,1,413.59000000000003,Cluster #0
23,6,2280.69,Cluster #2
198,1,227.96,Cluster #1
6,2,132.53,Cluster #0
65,1,869.87,Cluster #0
52,1,116.78,Cluster #1
31,4,1424.6,Cluster #0
31,9,1277.8,Cluster #2
18,4,277.43,Cluster #0
6,14,6715.67,Cluster #2
9,1,186.06,Cluster #0
11,6,3170.07,Cluster #2
57,2,462.21,Cluster #0
205,1,292.58,Cluster #1
4,6,724.93,Cluster #2
22,1,76.8,Cluster #1
34,8,2127.26,Cluster #2
31,5,1937.8400000000001,Cluster #2
7,5,1308.99,Cluster #2
2,12,3506.81,Cluster #2
203,1,262.2,Cluster #1
37,3,828.0,Cluster #0
126,2,368.59999999999997,Cluster #1
35,7,2921.96,Cluster #2
1,5,1242.9,Cluster #2
107,3,503.6,Cluster #0
190,2,646.8100000000001,Cluster #1
269,1,328.8,Cluster #1
102,3,435.58,Cluster #0
69,1,304.42,Cluster #1
44,1,607.62,Cluster #0
153,4,2642.62,Cluster #0
38,3,991.01,Cluster #0
8,2,573.86,Cluster #0
147,3,495.7,Cluster #1
217,1,396.8,Cluster #1
242,1,253.24,Cluster #1
113,2,298.45,Cluster #1
52,1,104.82,Cluster #1
55,2,315.66,Cluster #0
10,8,1595.95,Cluster #2
13,15,5657.29,Cluster #2
8,10,2118.77,Cluster #2
14,3,346.77,Cluster #0
20,5,876.07,Cluster #0
276,1,451.25,Cluster #1
168,2,139.25,Cluster #1
70,3,1560.38,Cluster #0
25,1,82.6,Cluster #1
32,12,1932.66,Cluster #2
258,1,141.41,Cluster #1
18,4,538.52,Cluster #0
276,1,47.71,Cluster #1
191,3,260.85,Cluster #1
297,1,399.85,Cluster #1
8,4,4687.74,Cluster #2
23,2,746.36,Cluster #0
9,21,9430.01,Cluster #2
11,1,173.66,Cluster #0
151,1,41.75,Cluster #1
57,1,92.46,Cluster #1
98,1,149.14,Cluster #1
7,22,5568.63,Cluster #2
15,15,4107.2699999999995,Cluster #2
258,1,132.6,Cluster #1
14,15,2387.7400000000002,Cluster #2
1,9,2289.89,Cluster #2
21,5,803.15,Cluster #0
258,1,114.3,Cluster #1
55,2,275.04,Cluster #0
312,1,248.85000000000002,Cluster #1
11,6,863.45,Cluster #2
24,1,151.04,Cluster #1
11,2,538.48,Cluster #0
121,1,105.52,Cluster #1
32,5,354.05,Cluster #0
93,6,936.7199999999999,Cluster #0
116,1,147.25,Cluster #1
24,1,45.599999999999994,Cluster #1
294,2,695.05,Cluster #1
356,1,127.05,Cluster #1
118,6,459.37,Cluster #0
1,15,3280.11,Cluster #2
2,12,15700.62,Cluster #2
48,1,113.3,Cluster #1
15,12,3526.65,Cluster #2
4,1,420.89,Cluster #0
3,16,31298.1,Cluster #2
28,1,147.35,Cluster #1
8,11,2668.76,Cluster #2
129,1,147.2,Cluster #1
286,1,2.95,Cluster #1
3,4,744.38,Cluster #0
157,1,69.71,Cluster #1
230,1,1089.14,Cluster #1
43,7,2413.2200000000003,Cluster #2
22,2,544.36,Cluster #0
64,1,144.2,Cluster #1
28,10,2927.37,Cluster #2
87,2,63.3,Cluster #1
14,6,2505.16,Cluster #2
14,3,453.12,Cluster #0
322,1,195.13,Cluster #1
11,5,1091.04,Cluster #2
135,1,90.0,Cluster #1
2,3,1710.22,Cluster #2
2,3,2396.53,Cluster #2
2,1,183.4,Cluster #0
114,3,503.01,Cluster #0
52,2,625.0,Cluster #0
9,4,924.48,Cluster #0
311,1,363.41,Cluster #1
6,10,2458.58,Cluster #2
121,3,499.28999999999996,Cluster #0
24,13,2456.89,Cluster #2
55,1,638.21,Cluster #0
38,1,278.28,Cluster #1
23,1,528.24,Cluster #0
51,3,676.0300000000001,Cluster #0
365,1,280.95,Cluster #1
125,1,64.8,Cluster #1
73,4,1895.04,Cluster #0
69,2,61.8,Cluster #1
225,1,29.700000000000003,Cluster #1
212,1,421.12,Cluster #1
27,2,584.74,Cluster #0
67,2,602.57,Cluster #0
231,2,682.92,Cluster #1
258,1,118.75,Cluster #1
1,41,18300.66,Cluster #2
11,2,412.72,Cluster #0
32,1,397.38,Cluster #0
11,11,4491.04,Cluster #2
207,3,890.92,Cluster #0
165,2,198.11,Cluster #1
79,4,1051.6100000000001,Cluster #0
72,1,374.4,Cluster #1
267,1,84.29,Cluster #1
31,4,525.09,Cluster #0
90,1,308.44,Cluster #1
2,4,222.34,Cluster #0
25,1,124.51,Cluster #1
51,3,2177.5,Cluster #0
289,4,517.2,Cluster #1
78,4,450.77,Cluster #0
20,6,1145.41,Cluster #2
32,2,566.88,Cluster #0
2,25,1779.8200000000002,Cluster #2
58,1,245.59,Cluster #1
323,1,12.75,Cluster #1
22,6,1763.8600000000001,Cluster #2
8,14,3512.52,Cluster #2
2,12,3873.14,Cluster #2
59,2,737.15,Cluster #0
10,20,9018.01,Cluster #2
98,1,73.72,Cluster #1
10,4,504.6,Cluster #0
210,1,10.2,Cluster #1
52,7,522.64,Cluster #0
8,2,288.2,Cluster #0
231,1,302.65999999999997,Cluster #1
86,1,101.14,Cluster #1
2,6,1098.55,Cluster #2
97,6,1616.1200000000001,Cluster #0
45,9,1761.15,Cluster #2
22,5,938.14,Cluster #0
3,6,1650.47,Cluster #2
8,2,785.9,Cluster #0
3,16,1228.05,Cluster #2
34,1,169.48000000000002,Cluster #1
239,2,510.72,Cluster #1
34,9,2655.95,Cluster #2
169,1,576.5,Cluster #1
84,3,736.5600000000001,Cluster #0
102,4,685.6,Cluster #0
21,4,1273.89,Cluster #0
18,9,2897.32,Cluster #2
43,3,757.8,Cluster #0
175,3,793.26,Cluster #0
34,5,1630.66,Cluster #2
41,4,916.9200000000001,Cluster #0
13,4,728.26,Cluster #0
67,5,1505.34,Cluster #0
72,2,302.64,Cluster #1
365,1,77.45,Cluster #1
318,1,96.2,Cluster #1
35,11,1996.75,Cluster #2
22,2,745.14,Cluster #0
175,1,213.70000000000002,Cluster #1
226,2,219.25,Cluster #1
30,9,2097.71,Cluster #2
211,2,1516.7,Cluster #0
102,3,1293.0,Cluster #0
270,1,104.12,Cluster #1
310,1,98.58,Cluster #1
81,1,1147.91,Cluster #0
2,4,1605.54,Cluster #2
252,2,738.0600000000001,Cluster #1
56,5,2451.6,Cluster #2
1,9,2439.26,Cluster #2
133,1,104.1,Cluster #1
70,1,633.79,Cluster #0
9,7,2032.41,Cluster #2
146,2,177.17000000000002,Cluster #1
101,2,333.43,Cluster #1
154,3,940.44,Cluster #0
323,1,341.65000000000003,Cluster #1
217,1,92.42,Cluster #1
65,2,330.2,Cluster #0
43,4,559.97,Cluster #0
90,3,1042.49,Cluster #0
7,3,2858.52,Cluster #2
188,1,92.63999999999999,Cluster #1
11,13,2405.28,Cluster #2
22,2,505.3,Cluster #0
13,4,368.78000000000003,Cluster #0
15,3,3926.34,Cluster #2
190,1,66.0,Cluster #1
205,1,306.0,Cluster #1
126,5,495.58000000000004,Cluster #0
3,5,1983.2,Cluster #2
49,9,2728.21,Cluster #2
31,7,1574.6100000000001,Cluster #2
139,3,644.01,Cluster #0
32,1,166.20000000000002,Cluster #1
9,4,1102.85,Cluster #0
22,39,24125.83,Cluster #2
13,7,1989.89,Cluster #2
10,1,43.2,Cluster #1
109,1,128.7,Cluster #1
214,1,224.4,Cluster #1
63,3,1811.16,Cluster #0
43,2,697.88,Cluster #0
80,6,2682.61,Cluster #2
20,8,1496.43,Cluster #2
234,1,198.97,Cluster #1
38,6,1265.06,Cluster #2
98,1,93.47999999999999,Cluster #1
36,6,2014.03,Cluster #2
56,1,375.58,Cluster #1
198,2,457.89,Cluster #1
2,5,1178.4,Cluster #2
106,2,517.66,Cluster #1
234,1,123.85000000000001,Cluster #1
155,1,311.65,Cluster #1
9,7,4013.63,Cluster #2
116,2,395.76,Cluster #1
14,3,585.15,Cluster #0
59,1,188.20000000000002,Cluster #1
8,8,1829.61,Cluster #2
8,2,422.6,Cluster #0
8,4,1281.1100000000001,Cluster #2
188,1,443.2,Cluster #1
234,1,309.52,Cluster #1
210,1,134.7,Cluster #1
37,8,1873.77,Cluster #2
13,4,322.8,Cluster #0
119,8,615.5300000000001,Cluster #0
30,1,108.97999999999999,Cluster #1
112,2,799.46,Cluster #0
252,1,297.87,Cluster #1
2,1,125.0,Cluster #0
266,1,282.93,Cluster #1
156,1,51.0,Cluster #1
149,4,821.76,Cluster #0
207,1,90.6,Cluster #1
22,1,87.78,Cluster #1
357,1,158.5,Cluster #1
71,2,480.93,Cluster #0
35,1,215.82,Cluster #1
11,3,799.08,Cluster #0
23,4,1732.83,Cluster #0
14,1,148.45,Cluster #0
100,8,1022.95,Cluster #2
13,15,6821.41,Cluster #2
311,1,105.2,Cluster #1
287,1,100.5,Cluster #1
350,1,10.2,Cluster #1
177,1,241.78,Cluster #1
183,2,155.25,Cluster #1
36,2,340.15000000000003,Cluster #0
44,1,202.68,Cluster #1
18,1,459.15999999999997,Cluster #0
30,3,903.67,Cluster #0
1,3,202.11,Cluster #0
288,1,93.6,Cluster #1
24,3,1501.21,Cluster #0
2,8,2804.56,Cluster #2
57,2,792.94,Cluster #0
2,9,3426.17,Cluster #2
209,1,67.95,Cluster #1
52,8,2704.9700000000003,Cluster #2
57,2,451.09,Cluster #0
3,14,826.86,Cluster #2
141,1,326.48,Cluster #1
30,12,2434.68,Cluster #2
209,2,283.95000000000005,Cluster #1
25,6,1103.73,Cluster #2
111,1,106.25,Cluster #1
99,5,981.53,Cluster #0
2,7,1823.53,Cluster #2
62,4,875.4200000000001,Cluster #0
84,9,892.52,Cluster #2
302,1,539.4000000000001,Cluster #1
34,2,562.33,Cluster #0
354,1,112.75,Cluster #1
83,7,1033.42,Cluster #0
11,12,4287.49,Cluster #2
14,2,189.5,Cluster #0
17,2,746.99,Cluster #0
2,6,1032.21,Cluster #2
90,1,387.52,Cluster #1
49,2,728.61,Cluster #0
9,5,3114.68,Cluster #2
210,1,20.4,Cluster #1
15,9,2998.21,Cluster #2
42,2,287.74,Cluster #0
28,4,661.4,Cluster #0
294,1,303.66,Cluster #1
1,6,2032.92,Cluster #2
13,6,964.8000000000001,Cluster #2
90,1,76.56,Cluster #1
357,1,63.0,Cluster #1
298,1,131.9,Cluster #1
311,1,1637.3,Cluster #1
34,4,1183.43,Cluster #0
35,3,1092.79,Cluster #0
196,2,677.47,Cluster #1
45,4,1370.33,Cluster #0
20,3,731.36,Cluster #0
10,5,1147.33,Cluster #2
1,2,127.80000000000001,Cluster #0
10,4,873.85,Cluster #0
172,3,483.25,Cluster #1
52,2,645.59,Cluster #0
2,2,196.89000000000001,Cluster #0
182,1,109.98,Cluster #1
14,8,2362.91,Cluster #2
302,1,68.64,Cluster #1
147,1,1274.16,Cluster #1
102,3,150.0,Cluster #1
140,3,1468.31,Cluster #0
58,11,1652.38,Cluster #2
197,1,39.599999999999994,Cluster #1
238,3,506.77000000000004,Cluster #1
21,7,1400.65,Cluster #2
9,4,532.51,Cluster #0
3,2,303.99,Cluster #0
95,8,1556.62,Cluster #2
66,1,95.28,Cluster #1
38,1,240.06,Cluster #1
63,3,683.01,Cluster #0
249,1,205.75,Cluster #1
42,1,83.2,Cluster #1
245,2,252.65,Cluster #1
3,1,262.55,Cluster #0
156,2,538.41,Cluster #1
10,6,1078.67,Cluster #2
273,1,137.1,Cluster #1
42,1,301.76,Cluster #1
30,1,147.3,Cluster #1
18,6,977.18,Cluster #2
59,1,706.18,Cluster #0
199,1,433.5,Cluster #1
167,2,220.98,Cluster #1
8,4,1600.94,Cluster #2
17,1,139.56,Cluster #0
42,2,123.8,Cluster #1
303,2,291.92,Cluster #1
301,1,335.52,Cluster #1
34,5,1519.27,Cluster #0
18,3,775.62,Cluster #0
80,2,218.10000000000002,Cluster #1
175,2,251.21,Cluster #1
11,9,1941.82,Cluster #2
2,4,2131.79,Cluster #2
39,4,522.21,Cluster #0
9,8,4977.96,Cluster #2
9,5,1258.3700000000001,Cluster #2
32,5,944.08,Cluster #0
13,2,196.42000000000002,Cluster #0
3,5,1173.41,Cluster #2
179,2,175.63,Cluster #1
198,2,183.75,Cluster #1
53,3,787.5,Cluster #0
9,6,1567.71,Cluster #2
25,2,192.55,Cluster #0
56,1,112.44,Cluster #1
63,3,405.26,Cluster #0
100,1,160.91,Cluster #1
23,9,1454.68,Cluster #2
11,9,2352.16,Cluster #2
4,52,3998.86,Cluster #2
29,1,234.83999999999997,Cluster #0
52,3,584.39,Cluster #0
17,6,2017.8500000000001,Cluster #2
228,3,200.4,Cluster #1
16,6,757.44,Cluster #2
9,17,3125.46,Cluster #2
52,3,2502.03,Cluster #0
251,1,76.85000000000001,Cluster #1
49,1,355.56,Cluster #1
56,2,334.35,Cluster #0
7,2,500.32,Cluster #0
1,3,880.11,Cluster #0
50,8,1380.35,Cluster #2
177,1,103.25,Cluster #1
20,16,1136.39,Cluster #2
16,2,1195.72,Cluster #0
32,4,1923.7,Cluster #0
4,6,2890.8,Cluster #2
303,1,224.98000000000002,Cluster #1
2,2,659.02,Cluster #0
10,2,148.23,Cluster #0
143,1,157.12,Cluster #1
11,5,543.62,Cluster #0
2,4,1946.83,Cluster #2
49,2,263.3,Cluster #0
77,1,287.44,Cluster #1
8,13,600.03,Cluster #2
67,3,957.37,Cluster #0
3,16,3749.7000000000003,Cluster #2
87,4,2636.81,Cluster #0
48,2,1257.96,Cluster #0
272,2,190.21,Cluster #1
32,6,2319.91,Cluster #2
171,9,792.3000000000001,Cluster #0
363,1,35.400000000000006,Cluster #1
4,4,859.71,Cluster #0
8,1,95.67,Cluster #0
32,1,94.21000000000001,Cluster #1
136,4,624.53,Cluster #0
160,4,834.96,Cluster #0
42,1,148.55,Cluster #1
268,1,202.44,Cluster #1
10,9,1279.18,Cluster #2
7,4,971.14,Cluster #0
27,3,528.81,Cluster #0
13,3,451.79,Cluster #0
365,1,214.15,Cluster #1
11,6,1524.96,Cluster #2
3,1,312.65,Cluster #0
36,1,221.97,Cluster #1
297,1,236.43,Cluster #1
2,1,123.96000000000001,Cluster #0
1,88,8000.25,Cluster #2
10,3,450.9,Cluster #0
20,2,689.6,Cluster #0
276,1,10.08,Cluster #1
1,3,408.84000000000003,Cluster #0
237,1,263.74,Cluster #1
197,2,318.54,Cluster #1
22,4,1242.4,Cluster #0
176,1,288.78000000000003,Cluster #1
24,5,690.85,Cluster #0
49,2,225.85,Cluster #0
188,2,668.48,Cluster #1
15,4,2035.8200000000002,Cluster #2
83,2,411.71000000000004,Cluster #0
39,1,331.88,Cluster #0
42,3,722.9200000000001,Cluster #0
254,1,79.94,Cluster #1
258,1,235.4,Cluster #1
28,2,609.85,Cluster #0
42,1,269.6,Cluster #1
44,6,2119.57,Cluster #2
16,6,1669.46,Cluster #2
13,1,110.46,Cluster #0
50,1,19.8,Cluster #1
162,2,295.87,Cluster #1
59,2,381.02000000000004,Cluster #0
148,2,419.42,Cluster #1
8,44,11046.36,Cluster #2
193,1,243.22,Cluster #1
64,3,573.44,Cluster #0
59,2,561.15,Cluster #0
69,1,94.28,Cluster #1
1,6,1152.52,Cluster #2
14,3,721.97,Cluster #0
161,2,240.95000000000002,Cluster #1
9,4,707.37,Cluster #0
109,1,47.39,Cluster #1
27,8,2153.38,Cluster #2
78,2,256.24,Cluster #1
18,1,41.05,Cluster #1
20,4,641.6,Cluster #0
11,2,568.24,Cluster #0
52,4,1490.75,Cluster #0
16,1,175.35,Cluster #0
2,25,5982.09,Cluster #2
233,3,1080.52,Cluster #0
272,2,403.58,Cluster #1
226,2,578.57,Cluster #1
1,4,1051.99,Cluster #2
8,1,436.4,Cluster #0
23,5,702.12,Cluster #0
17,15,3943.2,Cluster #2
63,3,120.0,Cluster #1
17,5,1176.73,Cluster #2
98,1,217.01999999999998,Cluster #1
31,19,3465.67,Cluster #2
200,1,104.85,Cluster #1
36,2,316.05,Cluster #0
22,5,1861.94,Cluster #2
129,4,558.55,Cluster #0
256,1,45.4,Cluster #1
63,6,1474.05,Cluster #2
210,2,96.56,Cluster #1
7,4,929.65,Cluster #0
206,1,109.13000000000001,Cluster #1
24,3,1384.53,Cluster #0
2,9,1725.8700000000001,Cluster #2
10,15,2139.06,Cluster #2
6,1,318.17,Cluster #0
11,7,1343.73,Cluster #2
360,1,241.02,Cluster #1
7,13,4341.82,Cluster #2
6,4,548.28,Cluster #0
2,11,1807.35,Cluster #2
21,3,851.73,Cluster #0
1,11,2151.31,Cluster #2
16,1,46.9,Cluster #1
16,4,687.23,Cluster #0
35,2,215.5,Cluster #0
2,4,1074.71,Cluster #2
81,2,296.03000000000003,Cluster #1
139,1,162.07,Cluster #1
2,6,1028.28,Cluster #2
16,1,450.83,Cluster #0
266,1,116.03,Cluster #1
365,1,290.79,Cluster #1
57,7,1392.13,Cluster #2
39,3,346.13,Cluster #0
22,7,1747.08,Cluster #2
8,12,4398.04,Cluster #2
3,29,3798.1800000000003,Cluster #2
120,2,510.55,Cluster #1
34,7,1154.7,Cluster #2
11,6,745.38,Cluster #2
188,3,1283.86,Cluster #0
3,6,1270.34,Cluster #2
8,6,416.48,Cluster #0
104,5,1085.5,Cluster #0
241,1,176.95000000000002,Cluster #1
20,5,1330.09,Cluster #2
35,1,129.0,Cluster #1
79,1,526.75,Cluster #1
36,2,608.3,Cluster #0
1,11,4106.17,Cluster #2
6,1,577.36,Cluster #0
67,1,395.5,Cluster #1
136,4,711.82,Cluster #0
104,2,489.8,Cluster #1
289,1,89.2,Cluster #1
50,2,255.9,Cluster #0
255,1,277.12,Cluster #1
38,1,79.8,Cluster #1
20,3,159.76,Cluster #0
72,5,1897.7,Cluster #0
9,2,192.60000000000002,Cluster #0
74,7,8146.6,Cluster #2
224,2,622.37,Cluster #1
104,1,126.50999999999999,Cluster #1
50,3,879.42,Cluster #0
43,11,1239.54,Cluster #2
119,2,691.0600000000001,Cluster #0
272,3,187.55,Cluster #1
46,2,400.88,Cluster #0
311,1,110.10000000000001,Cluster #1
18,2,231.32000000000002,Cluster #0
7,1,39.480000000000004,Cluster #1
18,1,296.75,Cluster #0
20,1,169.2,Cluster #0
8,4,554.46,Cluster #0
55,1,6.2,Cluster #1
13,1,228.99,Cluster #0
1,5,855.2,Cluster #2
158,1,4.25,Cluster #1
14,16,6725.2,Cluster #2
44,3,173.74,Cluster #0
43,1,32.720000000000006,Cluster #1
39,12,3563.22,Cluster #2
53,1,184.64,Cluster #1
154,3,279.45,Cluster #1
7,4,296.45,Cluster #0
67,1,66.0,Cluster #1
31,7,1374.47,Cluster #2
32,11,2038.08,Cluster #2
361,2,113.48,Cluster #1
28,2,737.22,Cluster #0
189,1,11.9,Cluster #1
192,2,962.08,Cluster #1
65,3,390.05,Cluster #0
56,2,176.07,Cluster #1
13,4,423.79,Cluster #0
358,1,48.800000000000004,Cluster #1
172,3,217.18,Cluster #1
2,4,711.71,Cluster #2
7,11,1896.8700000000001,Cluster #2
246,1,10.08,Cluster #1
21,4,650.83,Cluster #0
45,1,188.88,Cluster #1
9,6,1249.42,Cluster #2
2,3,102.44999999999999,Cluster #0
81,4,1613.5,Cluster #0
259,1,62.85,Cluster #1
45,6,2687.08,Cluster #2
35,4,2250.64,Cluster #0
55,4,1986.51,Cluster #0
