Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFM_Sum,Segment
127,1,60.7,2,1,1,4,Lost
3,4,1704.03,4,3,4,11,Champions
2,6,3181.55,4,4,4,12,Champions
10,17,2255.54,4,4,4,12,Champions
13,3,607.27,4,3,3,10,Loyal Customers
1,4,798.68,4,3,3,10,Loyal Customers
7,2,250.26000000000002,4,2,2,8,Potential Loyalist
50,6,1075.8,2,4,3,9,Loyal Customers
22,7,4798.16,3,4,4,11,Champions
85,1,293.0,2,1,2,5,At Risk
2,3,483.42,4,3,3,10,Loyal Customers
11,3,528.73,4,3,3,10,Loyal Customers
48,5,1197.28,3,4,4,11,Champions
259,1,10.5,1,1,1,3,Lost
114,1,52.02,2,1,1,4,Lost
119,1,56.76,2,1,1,4,Lost
70,4,506.04,2,3,3,8,Potential Loyalist
232,2,570.71,1,2,3,6,At Risk
192,1,62.4,1,1,1,3,Lost
52,2,1807.92,2,2,4,8,Potential Loyalist
265,1,85.51,1,1,1,3,Lost
193,1,257.7,1,1,2,4,Lost
217,1,123.15,1,1,1,3,Lost
20,13,1753.28,3,4,4,11,Champions
4,7,982.16,4,4,3,11,Champions
66,2,477.2,2,2,3,7,Potential Loyalist
204,1,870.57,1,1,3,5,At Risk
16,2,592.33,4,2,3,9,Loyal Customers
15,3,493.68,4,3,3,10,Loyal Customers
253,1,292.12,1,1,2,4,Lost
88,4,616.7,2,3,3,8,Potential Loyalist
104,3,270.40000000000003,2,3,2,7,Potential Loyalist
195,1,480.02000000000004,1,1,3,5,At Risk
84,1,94.79,2,1,1,4,Lost
42,1,259.85,3,1,2,6,At Risk
10,6,844.31,4,4,3,11,Champions
9,4,474.72,4,3,3,10,Loyal Customers
116,2,434.21,2,2,2,6,At Risk
85,1,82.23,2,1,1,4,Lost
148,2,380.15999999999997,1,2,2,5,At Risk
1,2,198.46,4,2,1,7,Potential Loyalist
3,3,509.48,4,3,3,10,Loyal Customers
53,1,258.32,2,1,2,5,At Risk
53,1,82.32000000000001,2,1,1,4,Lost
260,2,670.5,1,2,3,6,At Risk
255,1,132.29,1,1,1,3,Lost
3,32,6395.45,4,4,4,12,Champions
45,5,1247.52,3,4,4,11,Champions
3,12,2290.61,4,4,4,12,Champions
9,17,3478.9900000000002,4,4,4,12,Champions
9,10,2847.0,4,4,4,12,Champions
3,14,4148.31,4,4,4,12,Champions
29,1,217.38,3,1,2,6,At Risk
23,2,205.66000000000003,3,2,1,6,At Risk
105,1,128.54,2,1,1,4,Lost
55,2,462.98,2,2,3,7,Potential Loyalist
7,3,159.4,4,3,1,8,Potential Loyalist
32,1,459.86,3,1,3,7,Potential Loyalist
70,1,137.75,2,1,1,4,Lost
114,3,739.85,2,3,3,8,Potential Loyalist
10,3,726.94,4,3,3,10,Loyal Customers
51,2,93.66,2,2,1,5,At Risk
322,1,148.74,1,1,1,3,Lost
15,4,2566.02,4,3,4,11,Champions
147,1,338.41,1,1,2,4,Lost
30,2,418.45,3,2,2,7,Potential Loyalist
181,2,726.39,1,2,3,6,At Risk
351,1,168.3,1,1,1,3,Lost
129,1,53.4,2,1,1,4,Lost
15,3,1420.07,4,3,4,11,Champions
260,1,82.80000000000001,1,1,1,3,Lost
161,1,371.89,1,1,2,4,Lost
95,4,507.74,2,3,3,8,Potential Loyalist
343,1,244.85000000000002,1,1,2,4,Lost
13,9,827.85,4,4,3,11,Champions
112,1,15.0,2,1,1,4,Lost
14,3,1092.43,4,3,3,10,Loyal Customers
37,4,1183.7,3,3,4,10,Loyal Customers
20,3,1015.73,3,3,3,9,Loyal Customers
142,1,300.36,2,1,2,5,At Risk
14,5,1475.1200000000001,4,4,4,12,Champions
55,2,509.97,2,2,3,7,Potential Loyalist
29,4,580.49,3,3,3,9,Loyal Customers
58,6,1781.8300000000002,2,4,4,10,Loyal Customers
29,1,229.66,3,1,2,6,At Risk
9,25,9167.210000000001,4,4,4,12,Champions
69,4,1548.7,2,3,4,9,Loyal Customers
78,1,259.04,2,1,2,5,At Risk
9,1,199.48000000000002,4,1,1,6,At Risk
13,3,355.3,4,3,2,9,Loyal Customers
28,8,1036.95,3,4,3,10,Loyal Customers
73,1,471.3,2,1,3,6,At Risk
30,8,2690.07,3,4,4,11,Champions
308,1,235.68,1,1,2,4,Lost
23,2,312.48,3,2,2,7,Potential Loyalist
84,3,961.38,2,3,3,8,Potential Loyalist
6,1,338.4,4,1,2,7,Potential Loyalist
74,3,3165.62,2,3,4,9,Loyal Customers
69,1,752.8000000000001,2,1,3,6,At Risk
149,1,316.47,1,1,2,4,Lost
192,1,664.42,1,1,3,5,At Risk
37,6,2161.56,3,4,4,11,Champions
252,1,603.55,1,1,3,5,At Risk
169,1,290.93,1,1,2,4,Lost
59,3,1716.32,2,3,4,9,Loyal Customers
279,1,299.70000000000005,1,1,2,4,Lost
62,1,148.79999999999998,2,1,1,4,Lost
56,1,233.76,2,1,2,5,At Risk
2,1,197.32,4,1,1,6,At Risk
8,2,652.77,4,2,3,9,Loyal Customers
58,1,323.94,2,1,2,5,At Risk
52,1,316.17999999999995,2,1,2,5,At Risk
63,1,684.91,2,1,3,6,At Risk
114,1,516.0,2,1,3,6,At Risk
72,1,548.59,2,1,3,6,At Risk
249,1,492.15,1,1,3,5,At Risk
260,1,304.71,1,1,2,4,Lost
55,1,307.06,2,1,2,5,At Risk
1,4,2686.64,4,3,4,11,Champions
9,2,834.89,4,2,3,9,Loyal Customers
62,1,134.95999999999998,2,1,1,4,Lost
25,2,1718.8700000000001,3,2,4,9,Loyal Customers
248,2,430.18,1,2,2,5,At Risk
357,1,198.38000000000002,1,1,1,3,Lost
363,1,604.75,1,1,3,5,At Risk
81,1,290.04,2,1,2,5,At Risk
52,3,2726.17,2,3,4,9,Loyal Customers
80,1,607.1800000000001,2,1,3,6,At Risk
91,3,834.3100000000001,2,3,3,8,Potential Loyalist
18,3,521.36,3,3,3,9,Loyal Customers
23,6,3045.75,3,4,4,11,Champions
272,1,197.14000000000001,1,1,1,3,Lost
22,7,2877.66,3,4,4,11,Champions
321,1,403.07,1,1,2,4,Lost
123,2,505.45,2,2,3,7,Potential Loyalist
3,3,700.66,4,3,3,10,Loyal Customers
66,1,304.68,2,1,2,5,At Risk
45,7,1772.59,3,4,4,11,Champions
177,1,251.28,1,1,2,4,Lost
21,2,936.69,3,2,3,8,Potential Loyalist
64,4,1118.81,2,3,4,9,Loyal Customers
184,1,383.57,1,1,2,4,Lost
119,2,587.23,2,2,3,7,Potential Loyalist
9,1,30.0,4,1,1,6,At Risk
204,1,217.81,1,1,2,4,Lost
66,3,363.351,2,3,2,7,Potential Loyalist
3,50,8979.66,4,4,4,12,Champions
16,4,588.34,4,3,3,10,Loyal Customers
99,1,203.60000000000002,2,1,1,4,Lost
125,2,568.5,2,2,3,7,Potential Loyalist
35,2,576.5,3,2,3,8,Potential Loyalist
197,1,106.8,1,1,1,3,Lost
3,18,4699.71,4,4,4,12,Champions
55,1,221.06,2,1,2,5,At Risk
141,2,87.6,2,2,1,5,At Risk
32,2,1575.29,3,2,4,9,Loyal Customers
56,1,2292.0,2,1,4,7,Potential Loyalist
100,3,1057.45,2,3,3,8,Potential Loyalist
2,9,2804.04,4,4,4,12,Champions
11,3,445.34,4,3,2,9,Loyal Customers
2,1,176.57,4,1,1,6,At Risk
2,4,816.69,4,3,3,10,Loyal Customers
10,2,574.25,4,2,3,9,Loyal Customers
59,2,814.8,2,2,3,7,Potential Loyalist
66,2,179.04000000000002,2,2,1,5,At Risk
16,6,1463.28,4,4,4,12,Champions
6,7,2384.36,4,4,4,12,Champions
247,1,273.27,1,1,2,4,Lost
83,1,195.36,2,1,1,4,Lost
15,3,1026.69,4,3,3,10,Loyal Customers
8,6,3032.1800000000003,4,4,4,12,Champions
15,1,291.88,4,1,2,7,Potential Loyalist
18,6,1272.48,3,4,4,11,Champions
18,5,2627.85,3,4,4,11,Champions
157,2,245.57999999999998,1,2,2,5,At Risk
16,2,660.19,4,2,3,9,Loyal Customers
9,5,1180.1200000000001,4,4,4,12,Champions
15,13,6812.05,4,4,4,12,Champions
21,2,183.44,3,2,1,6,At Risk
30,3,329.8,3,3,2,8,Potential Loyalist
244,1,135.0,1,1,1,3,Lost
50,1,606.73,2,1,3,6,At Risk
176,1,197.70000000000002,1,1,1,3,Lost
2,2,871.8100000000001,4,2,3,9,Loyal Customers
10,35,3563.87,4,4,4,12,Champions
91,2,165.0,2,2,1,5,At Risk
13,2,1368.6,4,2,4,10,Loyal Customers
52,2,326.96,2,2,2,6,At Risk
228,1,187.99,1,1,1,3,Lost
183,4,1115.66,1,3,4,8,Potential Loyalist
170,2,697.67,1,2,3,6,At Risk
29,6,1249.8899999999999,3,4,4,11,Champions
192,2,261.15,1,2,2,5,At Risk
37,5,1680.26,3,4,4,11,Champions
224,1,184.64,1,1,1,3,Lost
57,1,140.34,2,1,1,4,Lost
233,1,202.5,1,1,1,3,Lost
225,1,394.44,1,1,2,4,Lost
70,3,999.55,2,3,3,8,Potential Loyalist
49,3,361.1,3,3,2,8,Potential Loyalist
9,13,6585.43,4,4,4,12,Champions
97,3,175.44,2,3,1,6,At Risk
43,10,943.34,3,4,3,10,Loyal Customers
128,3,729.24,2,3,3,8,Potential Loyalist
279,1,14.850000000000001,1,1,1,3,Lost
303,1,296.1,1,1,2,4,Lost
27,4,1403.43,3,3,4,10,Loyal Customers
2,2,563.63,4,2,3,9,Loyal Customers
274,2,348.05,1,2,2,5,At Risk
9,5,609.09,4,4,3,11,Champions
15,3,1010.8,4,3,3,10,Loyal Customers
279,1,844.72,1,1,3,5,At Risk
8,3,272.1,4,3,2,9,Loyal Customers
63,1,192.95,2,1,1,4,Lost
56,1,260.48,2,1,2,5,At Risk
64,4,3042.26,2,3,4,9,Loyal Customers
308,2,379.45,1,2,2,5,At Risk
90,3,1592.13,2,3,4,9,Loyal Customers
235,1,66.42,1,1,1,3,Lost
44,4,595.78,3,3,3,9,Loyal Customers
37,3,1262.08,3,3,4,10,Loyal Customers
252,1,228.51000000000002,1,1,2,4,Lost
118,1,132.6,2,1,1,4,Lost
65,1,152.20000000000002,2,1,1,4,Lost
64,4,833.82,2,3,3,8,Potential Loyalist
64,2,607.91,2,2,3,7,Potential Loyalist
51,3,1839.49,2,3,4,9,Loyal Customers
77,1,567.72,2,1,3,6,At Risk
69,1,78.95,2,1,1,4,Lost
50,6,1582.45,2,4,4,10,Loyal Customers
2,1,279.93,4,1,2,7,Potential Loyalist
22,1,125.80000000000001,3,1,1,5,At Risk
25,5,2181.58,3,4,4,11,Champions
32,5,580.94,3,4,3,10,Loyal Customers
6,1,90.0,4,1,1,6,At Risk
25,7,1906.0,3,4,4,11,Champions
70,2,206.06,2,2,2,6,At Risk
197,2,357.7,1,2,2,5,At Risk
25,1,210.31,3,1,2,6,At Risk
174,3,246.94,1,3,2,6,At Risk
24,23,4829.18,3,4,4,11,Champions
1,5,1670.51,4,4,4,12,Champions
35,5,699.45,3,4,3,10,Loyal Customers
77,3,446.52,2,3,2,7,Potential Loyalist
31,2,221.26,3,2,2,7,Potential Loyalist
4,3,553.29,4,3,3,10,Loyal Customers
88,2,512.84,2,2,3,7,Potential Loyalist
17,7,793.85,4,4,3,11,Champions
311,1,53.550000000000004,1,1,1,3,Lost
58,12,2227.55,2,4,4,10,Loyal Customers
65,4,2210.34,2,3,4,9,Loyal Customers
20,2,524.06,3,2,3,8,Potential Loyalist
15,3,451.18,4,3,2,9,Loyal Customers
207,1,39.01,1,1,1,3,Lost
73,3,1459.6100000000001,2,3,4,9,Loyal Customers
76,2,375.13,2,2,2,6,At Risk
346,2,892.94,1,2,3,6,At Risk
11,2,240.22,4,2,2,8,Potential Loyalist
32,2,864.76,3,2,3,8,Potential Loyalist
165,1,175.0,1,1,1,3,Lost
9,2,286.1,4,2,2,8,Potential Loyalist
235,1,211.64,1,1,2,4,Lost
4,12,2017.27,4,4,4,12,Champions
197,1,590.9300000000001,1,1,3,5,At Risk
42,2,238.11,3,2,2,7,Potential Loyalist
15,5,674.5699999999999,4,4,3,11,Champions
2,17,1797.66,4,4,4,12,Champions
17,4,1353.5,4,3,4,11,Champions
6,2,321.29,4,2,2,8,Potential Loyalist
301,1,56.95,1,1,1,3,Lost
147,1,691.05,1,1,3,5,At Risk
298,1,75.75,1,1,1,3,Lost
55,1,168.0,2,1,1,4,Lost
7,9,2331.81,4,4,4,12,Champions
6,2,256.05,4,2,2,8,Potential Loyalist
3,6,1417.5,4,4,4,12,Champions
56,3,809.58,2,3,3,8,Potential Loyalist
27,3,159.51,3,3,1,7,Potential Loyalist
100,5,1497.13,2,4,4,10,Loyal Customers
44,1,396.97,3,1,2,6,At Risk
4,1,334.4,4,1,2,7,Potential Loyalist
39,1,134.07,3,1,1,5,At Risk
2,19,3568.08,4,4,4,12,Champions
304,1,66.52,1,1,1,3,Lost
37,2,663.08,3,2,3,8,Potential Loyalist
56,1,398.65000000000003,2,1,2,5,At Risk
18,1,129.44,3,1,1,5,At Risk
20,2,152.22,3,2,1,6,At Risk
32,1,565.5600000000001,3,1,3,7,Potential Loyalist
4,7,891.78,4,4,3,11,Champions
81,3,974.1600000000001,2,3,3,8,Potential Loyalist
16,4,1076.8600000000001,4,3,3,10,Loyal Customers
310,1,385.89,1,1,2,4,Lost
32,3,444.04,3,3,2,8,Potential Loyalist
165,1,154.54,1,1,1,3,Lost
108,1,209.85,2,1,2,5,At Risk
22,5,392.05,3,4,2,9,Loyal Customers
244,1,241.32999999999998,1,1,2,4,Lost
51,5,1203.83,2,4,4,10,Loyal Customers
134,1,281.01,2,1,2,5,At Risk
67,6,825.14,2,4,3,9,Loyal Customers
91,5,332.5,2,4,2,8,Potential Loyalist
16,5,1766.71,4,4,4,12,Champions
25,5,1142.21,3,4,4,11,Champions
59,1,1031.43,2,1,3,6,At Risk
28,5,720.83,3,4,3,10,Loyal Customers
44,3,741.25,3,3,3,9,Loyal Customers
7,1,97.14,4,1,1,6,At Risk
66,1,646.34,2,1,3,6,At Risk
207,1,268.55,1,1,2,4,Lost
23,3,468.44,3,3,3,9,Loyal Customers
8,4,1979.0900000000001,4,3,4,11,Champions
112,1,30.599999999999998,2,1,1,4,Lost
1,4,1164.52,4,3,4,11,Champions
248,2,333.85,1,2,2,5,At Risk
8,6,1567.29,4,4,4,12,Champions
31,1,63.3,3,1,1,5,At Risk
37,3,1003.64,3,3,3,9,Loyal Customers
35,6,2261.97,3,4,4,11,Champions
106,2,753.22,2,2,3,7,Potential Loyalist
156,2,319.79,1,2,2,5,At Risk
2,2,321.0,4,2,2,8,Potential Loyalist
1,5,1735.85,4,4,4,12,Champions
197,2,1225.47,1,2,4,7,Potential Loyalist
77,3,663.56,2,3,3,8,Potential Loyalist
171,1,91.07,1,1,1,3,Lost
52,3,67.65,2,3,1,6,At Risk
141,1,258.17,2,1,2,5,At Risk
2,20,4041.09,4,4,4,12,Champions
42,2,160.2,3,2,1,6,At Risk
67,1,333.2,2,1,2,5,At Risk
293,2,186.39000000000001,1,2,1,4,Lost
10,2,307.27,4,2,2,8,Potential Loyalist
143,2,473.38,2,2,3,7,Potential Loyalist
143,1,72.56,2,1,1,4,Lost
31,3,1474.46,3,3,4,10,Loyal Customers
9,4,796.0300000000001,4,3,3,10,Loyal Customers
179,1,34.0,1,1,1,3,Lost
277,1,67.23,1,1,1,3,Lost
45,1,5.930000000000001,3,1,1,5,At Risk
174,1,72.0,1,1,1,3,Lost
55,1,15.0,2,1,1,4,Lost
51,1,81.60000000000001,2,1,1,4,Lost
16,2,749.64,4,2,3,9,Loyal Customers
37,18,2559.21,3,4,4,11,Champions
23,13,1616.53,3,4,4,11,Champions
30,1,151.29999999999998,3,1,1,5,At Risk
147,1,70.08000000000001,1,1,1,3,Lost
18,10,1856.6200000000001,3,4,4,11,Champions
14,8,1682.82,4,4,4,12,Champions
136,2,357.68,2,2,2,6,At Risk
294,1,290.89,1,1,2,4,Lost
258,2,581.36,1,2,3,6,At Risk
263,1,272.01,1,1,2,4,Lost
28,11,4190.74,3,4,4,11,Champions
23,1,94.56,3,1,1,5,At Risk
210,2,232.16000000000003,1,2,2,5,At Risk
238,1,88.2,1,1,1,3,Lost
272,5,1018.2,1,4,3,8,Potential Loyalist
261,1,138.28,1,1,1,3,Lost
24,6,1088.32,3,4,3,10,Loyal Customers
238,2,242.4,1,2,2,5,At Risk
7,5,855.41,4,4,3,11,Champions
108,4,685.8,2,3,3,8,Potential Loyalist
28,1,470.94,3,1,3,7,Potential Loyalist
123,3,2004.68,2,3,4,9,Loyal Customers
209,1,150.10000000000002,1,1,1,3,Lost
41,7,1203.52,3,4,4,11,Champions
30,2,429.11999999999995,3,2,2,7,Potential Loyalist
20,2,285.78000000000003,3,2,2,7,Potential Loyalist
28,6,437.44,3,4,2,9,Loyal Customers
127,2,522.55,2,2,3,7,Potential Loyalist
211,2,511.59000000000003,1,2,3,6,At Risk
20,1,491.86,3,1,3,7,Potential Loyalist
16,4,1970.99,4,3,4,11,Champions
252,1,271.78000000000003,1,1,2,4,Lost
192,1,185.65,1,1,1,3,Lost
10,1,125.10000000000001,4,1,1,6,At Risk
232,1,234.71,1,1,2,4,Lost
63,3,405.63,2,3,2,7,Potential Loyalist
8,12,1918.81,4,4,4,12,Champions
80,6,641.4,2,4,3,9,Loyal Customers
87,2,992.1,2,2,3,7,Potential Loyalist
154,1,241.35999999999999,1,1,2,4,Lost
87,4,328.7,2,3,2,7,Potential Loyalist
45,3,243.68,3,3,2,8,Potential Loyalist
280,1,75.6,1,1,1,3,Lost
116,6,723.74,2,4,3,9,Loyal Customers
279,1,710.66,1,1,3,5,At Risk
143,2,129.6,2,2,1,5,At Risk
1,8,1534.45,4,4,4,12,Champions
14,11,2267.84,4,4,4,12,Champions
3,7,1955.39,4,4,4,12,Champions
25,2,439.59000000000003,3,2,2,7,Potential Loyalist
46,2,286.79,3,2,2,7,Potential Loyalist
42,2,974.65,3,2,3,8,Potential Loyalist
210,1,133.2,1,1,1,3,Lost
55,1,308.40000000000003,2,1,2,5,At Risk
62,3,1352.96,2,3,4,9,Loyal Customers
17,35,7396.96,4,4,4,12,Champions
29,9,1820.5500000000002,3,4,4,11,Champions
56,4,2188.72,2,3,4,9,Loyal Customers
25,3,1027.43,3,3,3,9,Loyal Customers
73,1,314.15000000000003,2,1,2,5,At Risk
16,19,3190.51,4,4,4,12,Champions
95,1,178.7,2,1,1,4,Lost
162,1,30.48,1,1,1,3,Lost
242,1,68.54,1,1,1,3,Lost
4,6,766.56,4,4,3,11,Champions
104,5,247.26,2,4,2,8,Potential Loyalist
359,1,148.8,1,1,1,3,Lost
67,2,231.55,2,2,2,6,At Risk
58,2,183.05,2,2,1,5,At Risk
9,23,1996.51,4,4,4,12,Champions
108,2,649.06,2,2,3,7,Potential Loyalist
301,1,486.62,1,1,3,5,At Risk
58,1,247.1,2,1,2,5,At Risk
130,3,1068.52,2,3,3,8,Potential Loyalist
247,1,277.07,1,1,2,4,Lost
22,7,2303.89,3,4,4,11,Champions
55,1,218.13000000000002,2,1,2,5,At Risk
359,1,80.8,1,1,1,3,Lost
38,4,951.2,3,3,3,9,Loyal Customers
297,1,60.300000000000004,1,1,1,3,Lost
20,2,609.16,3,2,3,8,Potential Loyalist
34,3,452.1,3,3,2,8,Potential Loyalist
31,4,1050.26,3,3,3,9,Loyal Customers
84,2,1334.22,2,2,4,8,Potential Loyalist
14,4,3007.46,4,3,4,11,Champions
15,2,420.42,4,2,2,8,Potential Loyalist
20,2,328.98,3,2,2,7,Potential Loyalist
293,3,624.75,1,3,3,7,Potential Loyalist
136,2,321.89,2,2,2,6,At Risk
32,1,415.08,3,1,2,6,At Risk
10,2,683.36,4,2,3,9,Loyal Customers
24,5,1171.86,3,4,4,11,Champions
168,1,102.30000000000001,1,1,1,3,Lost
49,3,239.9,3,3,2,8,Potential Loyalist
14,1,168.45,4,1,1,6,At Risk
8,4,527.17,4,3,3,10,Loyal Customers
11,1,52.199999999999996,4,1,1,6,At Risk
151,1,226.4,1,1,2,4,Lost
17,4,692.37,4,3,3,10,Loyal Customers
203,2,226.24,1,2,2,5,At Risk
109,3,363.49,2,3,2,7,Potential Loyalist
50,9,2555.65,2,4,4,10,Loyal Customers
3,1,345.12,4,1,2,7,Potential Loyalist
56,1,157.86,2,1,1,4,Lost
16,3,733.16,4,3,3,10,Loyal Customers
43,2,1325.55,3,2,4,9,Loyal Customers
121,1,1478.98,2,1,4,7,Potential Loyalist
87,3,1536.08,2,3,4,9,Loyal Customers
49,1,547.3000000000001,3,1,3,7,Potential Loyalist
16,23,2441.16,4,4,4,12,Champions
160,3,120.3,1,3,1,5,At Risk
49,1,182.67,3,1,1,5,At Risk
318,1,172.76000000000002,1,1,1,3,Lost
6,4,841.5,4,3,3,10,Loyal Customers
10,8,2131.96,4,4,4,12,Champions
239,1,264.88,1,1,2,4,Lost
50,4,437.81,2,3,2,7,Potential Loyalist
66,1,145.67000000000002,2,1,1,4,Lost
23,3,719.74,3,3,3,9,Loyal Customers
30,1,428.37,3,1,2,6,At Risk
115,4,2468.25,2,3,4,9,Loyal Customers
32,7,1679.29,3,4,4,11,Champions
14,13,5070.75,4,4,4,12,Champions
111,3,324.05,2,3,2,7,Potential Loyalist
349,1,247.45000000000002,1,1,2,4,Lost
45,5,1477.82,3,4,4,11,Champions
55,1,98.80000000000001,2,1,1,4,Lost
78,1,17.4,2,1,1,4,Lost
46,1,1031.94,3,1,3,7,Potential Loyalist
13,13,2927.18,4,4,4,12,Champions
9,13,2902.56,4,4,4,12,Champions
3,4,613.1,4,3,3,10,Loyal Customers
2,5,2176.33,4,4,4,12,Champions
81,3,436.1,2,3,2,7,Potential Loyalist
181,2,390.2,1,2,2,5,At Risk
63,1,218.56,2,1,2,5,At Risk
196,1,293.95,1,1,2,4,Lost
111,2,505.98,2,2,3,7,Potential Loyalist
84,1,416.90000000000003,2,1,2,5,At Risk
14,7,1291.26,4,4,4,12,Champions
18,4,410.01,3,3,2,8,Potential Loyalist
289,1,195.70000000000002,1,1,1,3,Lost
15,2,430.55,4,2,2,8,Potential Loyalist
20,4,2144.67,3,3,4,10,Loyal Customers
42,1,311.16,3,1,2,6,At Risk
317,1,138.93,1,1,1,3,Lost
8,2,337.52,4,2,2,8,Potential Loyalist
184,2,553.95,1,2,3,6,At Risk
64,5,2365.83,2,4,4,10,Loyal Customers
29,2,332.64,3,2,2,7,Potential Loyalist
71,4,1948.9,2,3,4,9,Loyal Customers
136,8,1872.71,2,4,4,10,Loyal Customers
3,2,604.83,4,2,3,9,Loyal Customers
41,2,252.14000000000001,3,2,2,7,Potential Loyalist
41,2,565.1,3,2,3,8,Potential Loyalist
51,2,331.86,2,2,2,6,At Risk
343,1,81.6,1,1,1,3,Lost
45,1,317.63,3,1,2,6,At Risk
9,5,1348.63,4,4,4,12,Champions
84,4,411.1,2,3,2,7,Potential Loyalist
15,1,150.10000000000002,4,1,1,6,At Risk
66,1,348.99,2,1,2,5,At Risk
2,4,336.47,4,3,2,9,Loyal Customers
161,2,285.45,1,2,2,5,At Risk
49,2,337.34,3,2,2,7,Potential Loyalist
87,2,956.13,2,2,3,7,Potential Loyalist
286,1,195.8,1,1,1,3,Lost
101,2,576.99,2,2,3,7,Potential Loyalist
255,1,818.65,1,1,3,5,At Risk
171,1,369.74,1,1,2,4,Lost
161,1,128.25,1,1,1,3,Lost
27,1,71.66,3,1,1,5,At Risk
15,3,466.37,4,3,3,10,Loyal Customers
9,4,648.5600000000001,4,3,3,10,Loyal Customers
13,5,1389.88,4,4,4,12,Champions
71,3,57.33,2,3,1,6,At Risk
57,1,90.6,2,1,1,4,Lost
352,1,70.19999999999999,1,1,1,3,Lost
16,5,1620.33,4,4,4,12,Champions
3,4,437.65999999999997,4,3,2,9,Loyal Customers
168,3,504.09000000000003,1,3,3,7,Potential Loyalist
209,2,2300.811,1,2,4,7,Potential Loyalist
107,1,104.36,2,1,1,4,Lost
62,1,144.16,2,1,1,4,Lost
146,2,239.31,1,2,2,5,At Risk
46,4,586.34,3,3,3,9,Loyal Customers
71,3,512.75,2,3,3,8,Potential Loyalist
13,2,230.22,4,2,2,8,Potential Loyalist
13,2,82.1,4,2,1,7,Potential Loyalist
300,4,469.02,1,3,3,7,Potential Loyalist
137,1,35.7,2,1,1,4,Lost
8,16,5913.76,4,4,4,12,Champions
10,8,2502.56,4,4,4,12,Champions
62,2,174.35,2,2,1,5,At Risk
279,1,186.75,1,1,1,3,Lost
41,1,413.59000000000003,3,1,2,6,At Risk
23,6,2280.69,3,4,4,11,Champions
198,1,227.96,1,1,2,4,Lost
6,2,132.53,4,2,1,7,Potential Loyalist
65,1,869.87,2,1,3,6,At Risk
52,1,116.78,2,1,1,4,Lost
31,4,1424.6,3,3,4,10,Loyal Customers
31,9,1277.8,3,4,4,11,Champions
18,4,277.43,3,3,2,8,Potential Loyalist
6,14,6715.67,4,4,4,12,Champions
9,1,186.06,4,1,1,6,At Risk
11,6,3170.07,4,4,4,12,Champions
57,2,462.21,2,2,3,7,Potential Loyalist
205,1,292.58,1,1,2,4,Lost
4,6,724.93,4,4,3,11,Champions
22,1,76.8,3,1,1,5,At Risk
34,8,2127.26,3,4,4,11,Champions
31,5,1937.8400000000001,3,4,4,11,Champions
7,5,1308.99,4,4,4,12,Champions
2,12,3506.81,4,4,4,12,Champions
203,1,262.2,1,1,2,4,Lost
37,3,828.0,3,3,3,9,Loyal Customers
126,2,368.59999999999997,2,2,2,6,At Risk
35,7,2921.96,3,4,4,11,Champions
1,5,1242.9,4,4,4,12,Champions
107,3,503.6,2,3,3,8,Potential Loyalist
190,2,646.8100000000001,1,2,3,6,At Risk
269,1,328.8,1,1,2,4,Lost
102,3,435.58,2,3,2,7,Potential Loyalist
69,1,304.42,2,1,2,5,At Risk
44,1,607.62,3,1,3,7,Potential Loyalist
153,4,2642.62,1,3,4,8,Potential Loyalist
38,3,991.01,3,3,3,9,Loyal Customers
8,2,573.86,4,2,3,9,Loyal Customers
147,3,495.7,1,3,3,7,Potential Loyalist
217,1,396.8,1,1,2,4,Lost
242,1,253.24,1,1,2,4,Lost
113,2,298.45,2,2,2,6,At Risk
52,1,104.82,2,1,1,4,Lost
55,2,315.66,2,2,2,6,At Risk
10,8,1595.95,4,4,4,12,Champions
13,15,5657.29,4,4,4,12,Champions
8,10,2118.77,4,4,4,12,Champions
14,3,346.77,4,3,2,9,Loyal Customers
20,5,876.07,3,4,3,10,Loyal Customers
276,1,451.25,1,1,2,4,Lost
168,2,139.25,1,2,1,4,Lost
70,3,1560.38,2,3,4,9,Loyal Customers
25,1,82.6,3,1,1,5,At Risk
32,12,1932.66,3,4,4,11,Champions
258,1,141.41,1,1,1,3,Lost
18,4,538.52,3,3,3,9,Loyal Customers
276,1,47.71,1,1,1,3,Lost
191,3,260.85,1,3,2,6,At Risk
297,1,399.85,1,1,2,4,Lost
8,4,4687.74,4,3,4,11,Champions
23,2,746.36,3,2,3,8,Potential Loyalist
9,21,9430.01,4,4,4,12,Champions
11,1,173.66,4,1,1,6,At Risk
151,1,41.75,1,1,1,3,Lost
57,1,92.46,2,1,1,4,Lost
98,1,149.14,2,1,1,4,Lost
7,22,5568.63,4,4,4,12,Champions
15,15,4107.2699999999995,4,4,4,12,Champions
258,1,132.6,1,1,1,3,Lost
14,15,2387.7400000000002,4,4,4,12,Champions
1,9,2289.89,4,4,4,12,Champions
21,5,803.15,3,4,3,10,Loyal Customers
258,1,114.3,1,1,1,3,Lost
55,2,275.04,2,2,2,6,At Risk
312,1,248.85000000000002,1,1,2,4,Lost
11,6,863.45,4,4,3,11,Champions
24,1,151.04,3,1,1,5,At Risk
11,2,538.48,4,2,3,9,Loyal Customers
121,1,105.52,2,1,1,4,Lost
